#    L    TT             EE             TE             PP             TP          
   262   0.687081E+04   0.458180E+01   0.108604E+03   0.239723E+07   0.185171E+04
   263   0.683983E+04   0.472539E+01   0.110513E+03   0.238661E+07   0.183660E+04
   264   0.680809E+04   0.487189E+01   0.112394E+03   0.237607E+07   0.182165E+04
   265   0.677569E+04   0.502124E+01   0.114240E+03   0.236560E+07   0.180687E+04
   266   0.674283E+04   0.517365E+01   0.116073E+03   0.235521E+07   0.179226E+04
   267   0.670931E+04   0.532874E+01   0.117870E+03   0.234488E+07   0.177780E+04
   268   0.667527E+04   0.548688E+01   0.119646E+03   0.233462E+07   0.176349E+04
   269   0.664058E+04   0.564777E+01   0.121393E+03   0.232444E+07   0.174934E+04
   270   0.660552E+04   0.581146E+01   0.123111E+03   0.231432E+07   0.173533E+04
   271   0.656989E+04   0.597789E+01   0.124800E+03   0.230427E+07   0.172147E+04
   272   0.653390E+04   0.614734E+01   0.126453E+03   0.229429E+07   0.170775E+04
   273   0.649734E+04   0.631922E+01   0.128083E+03   0.228438E+07   0.169416E+04
   274   0.646036E+04   0.649410E+01   0.129669E+03   0.227453E+07   0.168071E+04
   275   0.642290E+04   0.667147E+01   0.131232E+03   0.226475E+07   0.166739E+04
   276   0.638509E+04   0.685154E+01   0.132751E+03   0.225503E+07   0.165420E+04
   277   0.634672E+04   0.703431E+01   0.134246E+03   0.224538E+07   0.164113E+04
   278   0.630803E+04   0.721969E+01   0.135697E+03   0.223580E+07   0.162818E+04
   279   0.626893E+04   0.740761E+01   0.137109E+03   0.222627E+07   0.161534E+04
   280   0.622943E+04   0.759805E+01   0.138497E+03   0.221681E+07   0.160262E+04
   281   0.618968E+04   0.779110E+01   0.139840E+03   0.220742E+07   0.159001E+04
   282   0.614940E+04   0.798643E+01   0.141144E+03   0.219808E+07   0.157751E+04
   283   0.610887E+04   0.818428E+01   0.142409E+03   0.218880E+07   0.156511E+04
   284   0.606804E+04   0.838456E+01   0.143636E+03   0.217959E+07   0.155281E+04
   285   0.602689E+04   0.858726E+01   0.144822E+03   0.217043E+07   0.154060E+04
   286   0.598537E+04   0.879223E+01   0.145962E+03   0.216134E+07   0.152849E+04
   287   0.594355E+04   0.899946E+01   0.147070E+03   0.215230E+07   0.151647E+04
   288   0.590150E+04   0.920895E+01   0.148130E+03   0.214332E+07   0.150453E+04
   289   0.585916E+04   0.942062E+01   0.149150E+03   0.213439E+07   0.149268E+04
   290   0.581661E+04   0.963430E+01   0.150130E+03   0.212553E+07   0.148090E+04
   291   0.577384E+04   0.985075E+01   0.151055E+03   0.211672E+07   0.146920E+04
   292   0.573056E+04   0.100688E+02   0.151946E+03   0.210796E+07   0.145757E+04
   293   0.568738E+04   0.102882E+02   0.152782E+03   0.209926E+07   0.144601E+04
   294   0.564385E+04   0.105103E+02   0.153584E+03   0.209061E+07   0.143452E+04
   295   0.560034E+04   0.107336E+02   0.154330E+03   0.208202E+07   0.142309E+04
   296   0.555649E+04   0.109597E+02   0.155034E+03   0.207347E+07   0.141172E+04
   297   0.551252E+04   0.111862E+02   0.155697E+03   0.206499E+07   0.140040E+04
   298   0.546829E+04   0.114155E+02   0.156303E+03   0.205655E+07   0.138913E+04
   299   0.542402E+04   0.116467E+02   0.156860E+03   0.204816E+07   0.137791E+04
   300   0.537957E+04   0.118785E+02   0.157367E+03   0.203982E+07   0.136674E+04
   301   0.533501E+04   0.121121E+02   0.157831E+03   0.203153E+07   0.135561E+04
   302   0.529044E+04   0.123470E+02   0.158253E+03   0.202329E+07   0.134452E+04
   303   0.524576E+04   0.125837E+02   0.158618E+03   0.201510E+07   0.133346E+04
   304   0.520099E+04   0.128224E+02   0.158926E+03   0.200696E+07   0.132246E+04
   305   0.515620E+04   0.130614E+02   0.159191E+03   0.199887E+07   0.131149E+04
   306   0.511132E+04   0.133015E+02   0.159407E+03   0.199082E+07   0.130056E+04
   307   0.506643E+04   0.135427E+02   0.159566E+03   0.198282E+07   0.128967E+04
   308   0.502153E+04   0.137865E+02   0.159690E+03   0.197487E+07   0.127881E+04
   309   0.497670E+04   0.140297E+02   0.159750E+03   0.196697E+07   0.126800E+04
   310   0.493180E+04   0.142732E+02   0.159767E+03   0.195911E+07   0.125723E+04
   311   0.488697E+04   0.145192E+02   0.159728E+03   0.195129E+07   0.124649E+04
   312   0.484222E+04   0.147647E+02   0.159646E+03   0.194353E+07   0.123580E+04
   313   0.479747E+04   0.150111E+02   0.159508E+03   0.193580E+07   0.122514E+04
   314   0.475281E+04   0.152584E+02   0.159328E+03   0.192813E+07   0.121452E+04
   315   0.470824E+04   0.155051E+02   0.159092E+03   0.192049E+07   0.120393E+04
   316   0.466375E+04   0.157526E+02   0.158806E+03   0.191290E+07   0.119339E+04
   317   0.461936E+04   0.159995E+02   0.158471E+03   0.190536E+07   0.118288E+04
   318   0.457507E+04   0.162480E+02   0.158086E+03   0.189786E+07   0.117240E+04
   319   0.453094E+04   0.164957E+02   0.157653E+03   0.189040E+07   0.116196E+04
   320   0.448700E+04   0.167435E+02   0.157178E+03   0.188298E+07   0.115156E+04
