#    L    TT             EE             BB             TE             PP             TP             EP          
   220   0.765411E+04   0.113738E+01   0.297387E-02   0.190336E+02   0.639812E-07   0.158954E-03  -0.386762E-07
   221   0.765432E+04   0.116880E+01   0.298324E-02   0.211657E+02   0.636609E-07   0.157550E-03  -0.202015E-07
   222   0.765374E+04   0.120237E+01   0.299335E-02   0.233118E+02   0.633432E-07   0.156158E-03  -0.186453E-08
   223   0.765220E+04   0.123803E+01   0.300414E-02   0.254722E+02   0.630280E-07   0.154777E-03   0.163383E-07
   224   0.765000E+04   0.127577E+01   0.301554E-02   0.276430E+02   0.627153E-07   0.153408E-03   0.344107E-07
   225   0.764693E+04   0.131578E+01   0.302748E-02   0.298270E+02   0.624051E-07   0.152050E-03   0.523562E-07
   226   0.764304E+04   0.135804E+01   0.303992E-02   0.320202E+02   0.620974E-07   0.150703E-03   0.701784E-07
   227   0.763828E+04   0.140259E+01   0.305278E-02   0.342240E+02   0.617920E-07   0.149369E-03   0.878810E-07
   228   0.763279E+04   0.144942E+01   0.306599E-02   0.364365E+02   0.614892E-07   0.148045E-03   0.105467E-06
   229   0.762649E+04   0.149862E+01   0.307951E-02   0.386561E+02   0.611886E-07   0.146734E-03   0.122941E-06
