#    L    TT             EE             BB             TE             PP             TP             EP          
   204   0.741062E+04   0.863727E+00   0.216264E-02  -0.122929E+02   0.683925E-07   0.179871E-03  -0.350244E-06
   205   0.742391E+04   0.868103E+00   0.215468E-02  -0.105259E+02   0.680338E-07   0.178321E-03  -0.329456E-06
   206   0.743633E+04   0.873801E+00   0.214798E-02  -0.873272E+01   0.676781E-07   0.176780E-03  -0.308855E-06
   207   0.744804E+04   0.880854E+00   0.214251E-02  -0.691411E+01   0.673253E-07   0.175250E-03  -0.288438E-06
   208   0.745882E+04   0.889323E+00   0.213822E-02  -0.507077E+01   0.669754E-07   0.173731E-03  -0.268202E-06
   209   0.746880E+04   0.899241E+00   0.213506E-02  -0.320328E+01   0.666283E-07   0.172222E-03  -0.248143E-06
   210   0.747799E+04   0.910671E+00   0.213298E-02  -0.131274E+01   0.662841E-07   0.170724E-03  -0.228258E-06
   211   0.748639E+04   0.923650E+00   0.213194E-02   0.600590E+00   0.659426E-07   0.169237E-03  -0.208544E-06
   212   0.749386E+04   0.938220E+00   0.213190E-02   0.253556E+01   0.656039E-07   0.167760E-03  -0.188996E-06
   213   0.750061E+04   0.954435E+00   0.213280E-02   0.449201E+01   0.652680E-07   0.166294E-03  -0.169613E-06
   214   0.750649E+04   0.972297E+00   0.213461E-02   0.646853E+01   0.649348E-07   0.164839E-03  -0.150390E-06
   215   0.751158E+04   0.992009E+00   0.213727E-02   0.846416E+01   0.646043E-07   0.163394E-03  -0.131323E-06
   216   0.751581E+04   0.101340E+01   0.214074E-02   0.104792E+02   0.642764E-07   0.161961E-03  -0.112411E-06
   217   0.751932E+04   0.103662E+01   0.214498E-02   0.125115E+02   0.639512E-07   0.160538E-03  -0.936484E-07
   218   0.752197E+04   0.106170E+01   0.214993E-02   0.145610E+02   0.636287E-07   0.159127E-03  -0.750329E-07
   219   0.752383E+04   0.108864E+01   0.215556E-02   0.166285E+02   0.633087E-07   0.157726E-03  -0.565607E-07
   220   0.752489E+04   0.111760E+01   0.216182E-02   0.187093E+02   0.629913E-07   0.156337E-03  -0.382287E-07
   221   0.752517E+04   0.114851E+01   0.216865E-02   0.208055E+02   0.626764E-07   0.154959E-03  -0.200334E-07
   222   0.752465E+04   0.118154E+01   0.217602E-02   0.229153E+02   0.623640E-07   0.153592E-03  -0.197133E-08
   223   0.752319E+04   0.121662E+01   0.218388E-02   0.250392E+02   0.620542E-07   0.152236E-03   0.159608E-07
   224   0.752109E+04   0.125375E+01   0.219219E-02   0.271735E+02   0.617468E-07   0.150891E-03   0.337663E-07
   225   0.751812E+04   0.129310E+01   0.220089E-02   0.293208E+02   0.614418E-07   0.149558E-03   0.514486E-07
   226   0.751437E+04   0.133468E+01   0.220994E-02   0.314771E+02   0.611393E-07   0.148236E-03   0.690112E-07
   227   0.750974E+04   0.137850E+01   0.221930E-02   0.336439E+02   0.608391E-07   0.146925E-03   0.864572E-07
   228   0.750440E+04   0.142456E+01   0.222892E-02   0.358193E+02   0.605413E-07   0.145626E-03   0.103790E-06
   229   0.749826E+04   0.147296E+01   0.223876E-02   0.380018E+02   0.602458E-07   0.144339E-03   0.121014E-06
