#    L    TT             EE             BB             TE             PP             TP             EP          
   212   0.242042E+05   0.303202E+01   0.199896E-02   0.847998E+01   0.211418E-06   0.541786E-03  -0.608323E-06
   213   0.242249E+05   0.308502E+01   0.199990E-02   0.148385E+02   0.210332E-06   0.537040E-03  -0.545745E-06
   214   0.242430E+05   0.314335E+01   0.200168E-02   0.212610E+02   0.209255E-06   0.532328E-03  -0.483709E-06
   215   0.242586E+05   0.320732E+01   0.200426E-02   0.277445E+02   0.208187E-06   0.527652E-03  -0.422202E-06
   216   0.242715E+05   0.327684E+01   0.200758E-02   0.342873E+02   0.207127E-06   0.523009E-03  -0.361211E-06
   217   0.242820E+05   0.335217E+01   0.201162E-02   0.408853E+02   0.206076E-06   0.518402E-03  -0.300725E-06
   218   0.242898E+05   0.343342E+01   0.201633E-02   0.475366E+02   0.205034E-06   0.513830E-03  -0.240732E-06
   219   0.242951E+05   0.352068E+01   0.202167E-02   0.542398E+02   0.203999E-06   0.509294E-03  -0.181220E-06
   220   0.242979E+05   0.361421E+01   0.202759E-02   0.609885E+02   0.202974E-06   0.504793E-03  -0.122176E-06
   221   0.242981E+05   0.371404E+01   0.203404E-02   0.677827E+02   0.201956E-06   0.500328E-03  -0.635892E-07
   222   0.242957E+05   0.382043E+01   0.204100E-02   0.746186E+02   0.200946E-06   0.495899E-03  -0.544668E-08
   223   0.242907E+05   0.393339E+01   0.204841E-02   0.814950E+02   0.199945E-06   0.491506E-03   0.522633E-07
   224   0.242833E+05   0.405303E+01   0.205623E-02   0.884058E+02   0.198952E-06   0.487149E-03   0.109553E-06
   225   0.242733E+05   0.417961E+01   0.206442E-02   0.953520E+02   0.197966E-06   0.482829E-03   0.166434E-06
   226   0.242607E+05   0.431323E+01   0.207294E-02   0.102328E+03   0.196988E-06   0.478545E-03   0.222919E-06
   227   0.242456E+05   0.445399E+01   0.208174E-02   0.109332E+03   0.196019E-06   0.474299E-03   0.279019E-06
   228   0.242280E+05   0.460199E+01   0.209079E-02   0.116362E+03   0.195056E-06   0.470089E-03   0.334747E-06
   229   0.242078E+05   0.475742E+01   0.210003E-02   0.123412E+03   0.194102E-06   0.465916E-03   0.390115E-06
