#    L    TT             EE             TE             PP             TP          
   264   0.219459E+05   0.157535E+02   0.361975E+03   0.763841E+07   0.586423E+04
   265   0.218410E+05   0.162385E+02   0.367922E+03   0.760466E+07   0.581662E+04
   266   0.217345E+05   0.167327E+02   0.373802E+03   0.757114E+07   0.576953E+04
   267   0.216260E+05   0.172357E+02   0.379588E+03   0.753786E+07   0.572296E+04
   268   0.215159E+05   0.177478E+02   0.385296E+03   0.750480E+07   0.567689E+04
   269   0.214039E+05   0.182686E+02   0.390914E+03   0.747197E+07   0.563131E+04
   270   0.212904E+05   0.187981E+02   0.396441E+03   0.743936E+07   0.558622E+04
   271   0.211752E+05   0.193363E+02   0.401875E+03   0.740697E+07   0.554159E+04
   272   0.210586E+05   0.198832E+02   0.407207E+03   0.737481E+07   0.549742E+04
   273   0.209404E+05   0.204383E+02   0.412449E+03   0.734286E+07   0.545370E+04
   274   0.208208E+05   0.210021E+02   0.417578E+03   0.731112E+07   0.541041E+04
   275   0.206997E+05   0.215740E+02   0.422613E+03   0.727960E+07   0.536755E+04
   276   0.205772E+05   0.221541E+02   0.427530E+03   0.724829E+07   0.532510E+04
   277   0.204533E+05   0.227424E+02   0.432351E+03   0.721719E+07   0.528304E+04
   278   0.203282E+05   0.233387E+02   0.437050E+03   0.718629E+07   0.524138E+04
   279   0.202018E+05   0.239429E+02   0.441632E+03   0.715561E+07   0.520010E+04
   280   0.200741E+05   0.245549E+02   0.446112E+03   0.712512E+07   0.515919E+04
   281   0.199454E+05   0.251748E+02   0.450464E+03   0.709483E+07   0.511863E+04
   282   0.198154E+05   0.258020E+02   0.454695E+03   0.706475E+07   0.507841E+04
   283   0.196844E+05   0.264369E+02   0.458801E+03   0.703486E+07   0.503852E+04
   284   0.195524E+05   0.270793E+02   0.462781E+03   0.700516E+07   0.499896E+04
   285   0.194193E+05   0.277290E+02   0.466634E+03   0.697566E+07   0.495971E+04
   286   0.192853E+05   0.283859E+02   0.470350E+03   0.694635E+07   0.492076E+04
   287   0.191503E+05   0.290499E+02   0.473941E+03   0.691723E+07   0.488209E+04
   288   0.190144E+05   0.297209E+02   0.477391E+03   0.688829E+07   0.484370E+04
   289   0.188777E+05   0.303988E+02   0.480705E+03   0.685954E+07   0.480557E+04
   290   0.187403E+05   0.310834E+02   0.483882E+03   0.683097E+07   0.476770E+04
   291   0.186021E+05   0.317753E+02   0.486904E+03   0.680258E+07   0.473006E+04
   292   0.184629E+05   0.324734E+02   0.489792E+03   0.677437E+07   0.469266E+04
   293   0.183234E+05   0.331772E+02   0.492522E+03   0.674633E+07   0.465548E+04
   294   0.181831E+05   0.338881E+02   0.495114E+03   0.671847E+07   0.461850E+04
   295   0.180424E+05   0.346046E+02   0.497544E+03   0.669078E+07   0.458172E+04
   296   0.179011E+05   0.353280E+02   0.499824E+03   0.666326E+07   0.454512E+04
